	S104	S110	S120	S122	S57	S69	T2	W31	S106	S108	S114	S116	S124	S126	S128	S32	S41	S45	S66	S70	S72	S76	S77	S80	S81	S82	S98
peptides	N0	N0	N0	N0	N0	N0	N0	N0	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+	N+
Pep1	0.00103333333333333000	0.00133333333333333000	0.00243333333333333000	0.00070000000000000000	0.00046666666666666700	0.00086666666666666700	0.00066666666666666700	0.00096666666666666700	0.00086666666666666700	0.00076666666666666700	0.00073333333333333300	0.00083333333333333300	0.00073333333333333300	0.00063333333333333300	0.00076666666666666700	0.00056666666666666700	0.00083333333333333300	0.00090000000000000000	0.00070000000000000000	0.00076666666666666700	0.00066666666666666700	0.00070000000000000000	0.00060000000000000000	0.00086666666666666700	0.00066666666666666700	0.00140000000000000000	0.00096666666666666700
Pep2	0.18690000000000000000	0.35776666666666700000	0.03853333333333330000	0.03560000000000000000	0.01240000000000000000	0.04303333333333330000	0.01410000000000000000	0.03026666666666670000	0.41030000000000000000	0.10820000000000000000	0.00740000000000000000	0.03256666666666670000	0.02703333333333330000	0.03990000000000000000	0.04146666666666670000	0.01110000000000000000	0.38480000000000000000	0.24240000000000000000	0.01020000000000000000	0.01016666666666670000	0.00743333333333333000	0.02080000000000000000	0.02825000000000000000	0.21983333333333300000	0.00690000000000000000	0.20053333333333300000	0.22420000000000000000
Pep3	0.03286666666666670000	0.01620000000000000000	0.00753333333333333000	0.00163333333333333000	0.00043333333333333300	0.02646666666666670000	0.00056666666666666700	0.00940000000000000000	0.01093333333333330000	0.00213333333333333000	0.00046666666666666700	0.00053333333333333400	0.00310000000000000000	0.00226666666666667000	0.00383333333333333000	0.00036666666666666700	0.00206666666666667000	0.00116666666666667000	0.00053333333333333300	0.00116666666666667000	0.00116666666666667000	0.00140000000000000000	0.00045000000000000000	0.00136666666666667000	0.00043333333333333300	0.01230000000000000000	0.00136666666666667000
Pep4	0.07920000000000000000	0.01966666666666670000	0.00543333333333333000	0.00230000000000000000	0.00040000000000000000	0.02850000000000000000	0.00050000000000000000	0.00283333333333333000	0.01343333333333330000	0.00090000000000000000	0.00083333333333333300	0.00053333333333333300	0.00203333333333333000	0.00093333333333333300	0.00270000000000000000	0.00050000000000000000	0.00270000000000000000	0.00053333333333333300	0.00056666666666666700	0.00116666666666667000	0.00113333333333333000	0.00066666666666666700	0.00095000000000000000	0.00120000000000000000	0.00076666666666666700	0.00990000000000000000	0.00073333333333333300
Pep5	0.01743333333333330000	0.00833333333333333000	0.01580000000000000000	0.01143333333333330000	0.00056666666666666700	0.01496666666666670000	0.00360000000000000000	0.01613333333333330000	0.01290000000000000000	0.01223333333333330000	0.00213333333333333000	0.00353333333333333000	0.02210000000000000000	0.00363333333333333000	0.01246666666666670000	0.00876666666666667000	0.00410000000000000000	0.14126666666666700000	0.00163333333333333000	0.00190000000000000000	0.00236666666666667000	0.00990000000000000000	0.00505000000000000000	0.01940000000000000000	0.00226666666666667000	0.02863333333333330000	0.00376666666666667000
Pep6	0.73646666666666700000	0.11243333333333300000	0.00656666666666667000	0.00853333333333333000	0.00233333333333333000	0.17010000000000000000	0.00193333333333333000	0.01726666666666670000	0.10463333333333300000	0.00286666666666667000	0.00063333333333333300	0.00116666666666667000	0.00503333333333333000	0.00433333333333333000	0.00956666666666667000	0.00146666666666667000	0.00326666666666667000	0.00163333333333333000	0.00136666666666667000	0.00133333333333333000	0.00316666666666667000	0.00210000000000000000	0.00230000000000000000	0.00140000000000000000	0.00103333333333333000	0.14543333333333300000	0.00096666666666666700
Pep7	0.00013333333333333300	0.00010000000000000000	0.00016666666666666700	0.00006666666666666670	0.00013333333333333300	0.00020000000000000000	0.00000000000000000000	0.00020000000000000000	0.00016666666666666700	0.00003333333333333330	0.00006666666666666670	0.00006666666666666670	0.00013333333333333300	0.00000000000000000000	0.00010000000000000000	0.00010000000000000000	0.00010000000000000000	0.00006666666666666670	0.00003333333333333330	0.00006666666666666670	0.00003333333333333330	0.00000000000000000000	0.00010000000000000000	0.00003333333333333330	0.00000000000000000000	0.00023333333333333300	0.00003333333333333330
Pep8	0.00716666666666667000	0.00210000000000000000	0.00216666666666667000	0.00110000000000000000	0.00110000000000000000	0.00486666666666667000	0.00086666666666666700	0.00143333333333333000	0.00190000000000000000	0.00096666666666666700	0.00110000000000000000	0.00120000000000000000	0.00113333333333333000	0.00093333333333333300	0.00086666666666666700	0.00096666666666666700	0.00113333333333333000	0.00113333333333333000	0.00120000000000000000	0.00146666666666667000	0.00093333333333333300	0.00086666666666666700	0.00150000000000000000	0.00093333333333333300	0.00126666666666667000	0.00173333333333333000	0.00113333333333333000
Pep9	0.00160000000000000000	0.00130000000000000000	0.00076666666666666700	0.00023333333333333300	0.00036666666666666700	0.00213333333333333000	0.00040000000000000000	0.00176666666666667000	0.00066666666666666700	0.00016666666666666700	0.00003333333333333330	0.00010000000000000000	0.00036666666666666700	0.00023333333333333300	0.00103333333333333000	0.00013333333333333300	0.00020000000000000000	0.00016666666666666700	0.00006666666666666670	0.00003333333333333330	0.00020000000000000000	0.00033333333333333300	0.00020000000000000000	0.00023333333333333300	0.00006666666666666670	0.00383333333333333000	0.00006666666666666670
Pep10	0.00306666666666667000	0.00230000000000000000	0.00090000000000000000	0.00090000000000000000	0.00053333333333333300	0.00176666666666667000	0.00093333333333333300	0.00110000000000000000	0.00123333333333333000	0.00063333333333333300	0.00063333333333333300	0.00056666666666666700	0.00063333333333333300	0.00053333333333333300	0.00160000000000000000	0.00053333333333333300	0.00063333333333333300	0.00046666666666666700	0.00070000000000000000	0.00110000000000000000	0.00063333333333333300	0.00336666666666667000	0.00070000000000000000	0.00050000000000000000	0.00046666666666666700	0.00343333333333333000	0.00056666666666666700
Pep11	0.00040000000000000000	0.00010000000000000000	0.00003333333333333330	0.00000000000000000000	0.00003333333333333330	0.00026666666666666700	0.00010000000000000000	0.00100000000000000000	0.00020000000000000000	0.00003333333333333330	0.00003333333333333330	0.00013333333333333300	0.00003333333333333330	0.00003333333333333330	0.00006666666666666670	0.00003333333333333330	0.00003333333333333330	0.00000000000000000000	0.00006666666666666670	0.00006666666666666670	0.00003333333333333330	0.00000000000000000000	0.00005000000000000000	0.00000000000000000000	0.00003333333333333330	0.00026666666666666700	0.00003333333333333330
